datetime,open,high,low,close,atr,upperband,lowerband,signals,SMA_5,SMA_7,SMA_21,5_21_SMA_Trend
2025-04-16 10:54,23298.85,23300.4,23293.7,23299.1,8.703161270947625,23318.918321834743,23285.09035738236,-1,23305.04,23306.12857142857,23301.261904761905,UP
2025-04-16 10:55,23299.5,23305.0,23291.8,23303.9,9.024558382425043,23318.918321834743,23285.09035738236,-1,23304.370000000003,23305.221428571433,23302.109523809522,UP
2025-04-16 10:56,23304.9,23308.5,23297.8,23298.7,9.144300018178374,23318.918321834743,23285.09035738236,-1,23302.04,23303.971428571425,23302.245238095238,DOWN
2025-04-16 10:57,23297.9,23301.35,23296.9,23299.25,8.808817957192396,23318.918321834743,23285.09035738236,-1,23299.77,23302.82857142857,23302.409523809525,DOWN
2025-04-16 10:58,23300.2,23303.1,23286.25,23288.9,9.383466317622393,23318.918321834743,23285.09035738236,-1,23297.97,23299.764285714286,23302.25238095238,DOWN
2025-04-16 10:59,23289.2,23293.2,23280.95,23287.65,9.58831081451534,23315.839932443545,23285.09035738236,-1,23295.68,23296.485714285714,23302.140476190478,DOWN
2025-04-16 11:00,23286.2,23291.05,23274.9,23274.9,10.05719863811856,23313.146595914357,23285.09035738236,-1,23289.879999999997,23293.2,23301.178571428572,DOWN
2025-04-16 11:01,23277.0,23284.5,23274.45,23281.5,10.056684250286471,23309.645052750857,23249.30494724914,-1,23286.440000000002,23290.68571428571,23300.364285714288,DOWN
2025-04-16 11:02,23278.55,23283.8,23276.35,23281.15,9.870425474786188,23309.645052750857,23250.46372357564,-1,23282.82,23287.43571428571,23299.440476190477,DOWN
2025-04-16 11:03,23280.2,23280.8,23274.0,23280.2,9.676044400146347,23306.42813320044,23250.46372357564,-1,23281.08,23284.792857142857,23298.44761904762,DOWN
2025-04-16 11:04,23280.05,23285.95,23277.4,23284.5,9.595587686516332,23306.42813320044,23252.888236940453,-1,23280.45,23282.68571428571,23297.72380952381,DOWN
2025-04-16 11:05,23283.85,23285.65,23279.8,23281.0,9.327968582706951,23306.42813320044,23254.74109425188,-1,23281.670000000002,23281.557142857142,23296.809523809523,DOWN
2025-04-16 11:06,23280.2,23286.3,23276.9,23286.05,9.333115061184166,23306.42813320044,23254.74109425188,-1,23282.58,23281.32857142857,23295.761904761905,DOWN
2025-04-16 11:07,23286.1,23292.85,23285.55,23292.35,9.187856460960164,23306.42813320044,23261.63643061712,-1,23284.82,23283.821428571428,23294.811904761907,DOWN
2025-04-16 11:08,23291.55,23306.1,23290.5,23306.1,9.645972421345911,23306.42813320044,23269.362082735963,-1,23290.0,23287.335714285717,23294.716666666667,DOWN
2025-04-16 11:09,23304.65,23314.85,23302.35,23307.65,9.849875222823652,23306.42813320044,23279.050374331528,1,23294.629999999997,23291.12142857143,23294.59285714286,UP
2025-04-16 11:10,23307.9,23313.25,23306.3,23309.5,9.642700059179552,23338.70310017754,23280.846899822463,1,23300.329999999998,23295.307142857142,23294.690476190477,UP
2025-04-16 11:11,23310.1,23313.65,23307.2,23313.65,9.414607915677871,23338.66882374704,23282.18117625297,1,23305.85,23299.471428571425,23294.995238095238,UP
2025-04-16 11:12,23312.05,23315.45,23311.1,23313.9,9.052788137043192,23338.66882374704,23286.11663558887,1,23310.159999999996,23304.17142857143,23295.164285714287,UP
2025-04-16 11:13,23314.35,23316.4,23312.05,23312.7,8.716821180183722,23338.66882374704,23288.074536459448,1,23311.480000000003,23307.97857142857,23295.26428571429,UP
2025-04-16 11:14,23313.5,23319.3,23312.4,23318.85,8.58702904007503,23338.66882374704,23290.08891287977,1,23313.719999999998,23311.764285714286,23296.261904761905,UP
2025-04-16 11:15,23319.4,23325.75,23316.15,23323.4,8.659394048188428,23338.66882374704,23294.97181785544,1,23316.500000000004,23314.235714285714,23297.41904761905,UP
