,0,1,2,3,4,5
120,2024-07-23T10:15:00+05:30,24449.9,24552.5,24423.9,24542.55,0
121,2024-07-23T11:15:00+05:30,24543.5,24549.8,24381.05,24469.3,0
122,2024-07-23T12:15:00+05:30,24468.65,24474.05,24076.25,24279.65,0
123,2024-07-23T13:15:00+05:30,24280.4,24513.65,24277.3,24459.9,0
124,2024-07-23T14:15:00+05:30,24460.15,24544.7,24427.55,24460.65,0
125,2024-07-23T15:15:00+05:30,24459.45,24479.5,24446.75,24476.4,0
126,2024-07-24T09:15:00+05:30,24444.95,24503.25,24373.9,24441.15,0
127,2024-07-24T10:15:00+05:30,24442.4,24492.1,24397.25,24432.0,0
128,2024-07-24T11:15:00+05:30,24432.35,24445.25,24368.3,24379.85,0
129,2024-07-24T12:15:00+05:30,24378.35,24382.25,24307.95,24362.0,0
130,2024-07-24T13:15:00+05:30,24362.15,24378.1,24310.5,24324.45,0
131,2024-07-24T14:15:00+05:30,24326.3,24453.95,24322.25,24407.4,0
132,2024-07-24T15:15:00+05:30,24407.65,24446.4,24397.75,24441.9,0
133,2024-07-25T09:15:00+05:30,24230.95,24302.75,24212.3,24294.95,0
134,2024-07-25T10:15:00+05:30,24294.8,24331.85,24270.85,24324.2,0
135,2024-07-25T11:15:00+05:30,24324.05,24368.35,24295.1,24362.95,0
136,2024-07-25T12:15:00+05:30,24362.15,24397.15,24354.7,24382.3,0
137,2024-07-25T13:15:00+05:30,24381.8,24425.1,24361.05,24421.35,0
138,2024-07-25T14:15:00+05:30,24422.45,24424.65,24380.1,24397.5,0
139,2024-07-25T15:15:00+05:30,24396.5,24423.15,24388.95,24415.0,0
140,2024-07-26T09:15:00+05:30,24423.35,24592.8,24410.9,24578.7,0
141,2024-07-26T10:15:00+05:30,24578.45,24653.95,24576.25,24644.8,0
142,2024-07-26T11:15:00+05:30,24643.95,24656.65,24623.6,24639.0,0
143,2024-07-26T12:15:00+05:30,24638.95,24780.95,24637.1,24775.55,0
144,2024-07-26T13:15:00+05:30,24777.1,24818.05,24758.2,24797.8,0
145,2024-07-26T14:15:00+05:30,24797.75,24852.3,24759.45,24849.05,0
146,2024-07-26T15:15:00+05:30,24848.0,24860.05,24830.4,24851.75,0
147,2024-07-29T09:15:00+05:30,24943.3,24980.45,24878.35,24878.35,0
148,2024-07-29T10:15:00+05:30,24878.1,24946.05,24866.5,24938.15,0
149,2024-07-29T11:15:00+05:30,24937.85,24998.55,24880.2,24906.55,0
150,2024-07-29T12:15:00+05:30,24905.5,24912.95,24791.8,24833.05,0
151,2024-07-29T13:15:00+05:30,24833.35,24884.85,24797.6,24798.05,0
152,2024-07-29T14:15:00+05:30,24798.0,24865.85,24774.9,24823.3,0
153,2024-07-29T15:15:00+05:30,24823.5,24848.8,24816.6,24840.95,0
154,2024-07-30T09:15:00+05:30,24839.4,24886.7,24798.65,24851.65,0
155,2024-07-30T10:15:00+05:30,24851.55,24939.9,24850.4,24926.7,0
156,2024-07-30T11:15:00+05:30,24926.9,24956.55,24914.85,24936.3,0
157,2024-07-30T12:15:00+05:30,24936.0,24968.75,24921.55,24936.95,0
158,2024-07-30T13:15:00+05:30,24936.3,24944.55,24881.0,24929.15,0
159,2024-07-30T14:15:00+05:30,24930.05,24971.75,24837.7,24847.5,0
160,2024-07-30T15:15:00+05:30,24847.45,24861.75,24832.6,24840.9,0
161,2024-07-31T09:15:00+05:30,24886.7,24945.4,24857.35,24940.1,0
162,2024-07-31T10:15:00+05:30,24938.6,24953.75,24901.45,24923.0,0
163,2024-07-31T11:15:00+05:30,24922.25,24939.0,24898.25,24936.3,0
164,2024-07-31T12:15:00+05:30,24935.45,24949.45,24904.1,24937.05,0
165,2024-07-31T13:15:00+05:30,24934.9,24952.45,24918.55,24926.3,0
166,2024-07-31T14:15:00+05:30,24925.55,24968.6,24922.65,24945.8,0
167,2024-07-31T15:15:00+05:30,24944.45,24983.3,24941.75,24979.3,0
168,2024-08-01T09:15:00+05:30,25030.95,25077.3,25008.8,25037.05,0
169,2024-08-01T10:15:00+05:30,25036.3,25052.15,25004.05,25033.45,0
170,2024-08-01T11:15:00+05:30,25032.85,25033.85,24983.3,24990.55,0
171,2024-08-01T12:15:00+05:30,24992.65,25008.35,24964.5,25000.1,0
172,2024-08-01T13:15:00+05:30,24999.15,25007.15,24972.15,24981.45,0
173,2024-08-01T14:15:00+05:30,24980.7,25020.9,24956.95,25018.7,0
174,2024-08-01T15:15:00+05:30,25018.5,25030.85,24998.4,25006.0,0
175,2024-08-02T09:15:00+05:30,24789.0,24851.45,24725.0,24778.9,0
176,2024-08-02T10:15:00+05:30,24779.45,24823.75,24746.0,24805.05,0
177,2024-08-02T11:15:00+05:30,24803.6,24835.1,24779.9,24788.7,0
178,2024-08-02T12:15:00+05:30,24788.4,24794.9,24754.7,24770.5,0
179,2024-08-02T13:15:00+05:30,24769.25,24808.9,24755.4,24770.55,0
180,2024-08-02T14:15:00+05:30,24771.2,24792.55,24688.3,24727.9,0
181,2024-08-02T15:15:00+05:30,24728.85,24736.7,24696.1,24699.45,0
182,2024-08-05T09:15:00+05:30,24302.85,24350.05,24193.25,24292.15,0
183,2024-08-05T10:15:00+05:30,24290.8,24295.9,24011.7,24020.75,0
184,2024-08-05T11:15:00+05:30,24020.45,24049.25,23895.0,24038.45,0
185,2024-08-05T12:15:00+05:30,24039.35,24056.8,23916.7,24021.6,0
186,2024-08-05T13:15:00+05:30,24021.2,24127.35,23996.1,24085.65,0
187,2024-08-05T14:15:00+05:30,24085.9,24115.0,24014.6,24048.85,0
188,2024-08-05T15:15:00+05:30,24049.65,24066.7,24039.55,24051.8,0
189,2024-08-06T09:15:00+05:30,24189.85,24380.85,24189.5,24282.85,0
190,2024-08-06T10:15:00+05:30,24284.45,24309.9,24131.95,24225.8,0
191,2024-08-06T11:15:00+05:30,24226.6,24260.35,24207.7,24235.55,0
192,2024-08-06T12:15:00+05:30,24235.5,24237.9,24158.3,24163.4,0
193,2024-08-06T13:15:00+05:30,24163.25,24178.25,24012.0,24022.9,0
194,2024-08-06T14:15:00+05:30,24023.15,24077.9,23960.5,23973.55,0
195,2024-08-06T15:15:00+05:30,23974.75,24039.45,23966.05,24033.05,0
196,2024-08-07T09:15:00+05:30,24289.4,24306.2,24185.95,24207.55,0
197,2024-08-07T10:15:00+05:30,24207.05,24337.0,24193.4,24248.6,0
198,2024-08-07T11:15:00+05:30,24247.35,24253.95,24209.7,24224.05,0
199,2024-08-07T12:15:00+05:30,24225.95,24276.8,24208.3,24232.15,0
200,2024-08-07T13:15:00+05:30,24232.9,24246.6,24188.95,24246.0,0
201,2024-08-07T14:15:00+05:30,24246.45,24312.25,24244.45,24309.4,0
202,2024-08-07T15:15:00+05:30,24309.25,24316.9,24295.85,24315.25,0
203,2024-08-08T09:15:00+05:30,24248.55,24262.75,24120.6,24161.15,0
204,2024-08-08T10:15:00+05:30,24161.65,24259.6,24134.4,24186.35,0
205,2024-08-08T11:15:00+05:30,24186.05,24306.6,24167.8,24306.6,0
206,2024-08-08T12:15:00+05:30,24307.25,24339.3,24129.05,24160.35,0
207,2024-08-08T13:15:00+05:30,24159.4,24179.55,24092.5,24154.6,0
208,2024-08-08T14:15:00+05:30,24154.75,24195.8,24113.35,24115.2,0
209,2024-08-08T15:15:00+05:30,24115.55,24117.9,24079.95,24098.7,0
210,2024-08-09T09:15:00+05:30,24386.85,24419.6,24315.9,24356.45,0
211,2024-08-09T10:15:00+05:30,24356.4,24372.35,24312.2,24345.2,0
212,2024-08-09T11:15:00+05:30,24345.65,24374.9,24337.25,24351.75,0
213,2024-08-09T12:15:00+05:30,24352.3,24371.15,24338.1,24351.4,0
214,2024-08-09T13:15:00+05:30,24351.7,24389.6,24348.15,24386.45,0
215,2024-08-09T14:15:00+05:30,24384.7,24389.25,24353.85,24371.05,0
216,2024-08-09T15:15:00+05:30,24373.85,24374.4,24356.95,24364.4,0
217,2024-08-12T09:15:00+05:30,24320.05,24323.7,24212.3,24252.15,0
218,2024-08-12T10:15:00+05:30,24252.8,24435.05,24252.15,24434.8,0
219,2024-08-12T11:15:00+05:30,24434.65,24472.7,24387.25,24388.1,0
220,2024-08-12T12:15:00+05:30,24388.75,24439.1,24380.55,24404.65,0
221,2024-08-12T13:15:00+05:30,24404.4,24444.35,24392.75,24435.3,0
222,2024-08-12T14:15:00+05:30,24434.7,24440.55,24302.4,24345.7,0
223,2024-08-12T15:15:00+05:30,24347.95,24365.35,24340.9,24348.8,0
224,2024-08-13T09:15:00+05:30,24342.35,24359.95,24300.0,24330.1,0
225,2024-08-13T10:15:00+05:30,24329.7,24334.25,24277.75,24313.35,0
